Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,2,chercher,search
1,2,5,pensais,thought
2,3,6,aide,help
3,4,7,demande,request
4,5,8,genre,kind
5,6,9,mois,month
6,9,13,mettre,to put
10,15,21,devrait,should
11,16,22,bébé,baby
12,18,24,heures,hours
13,19,25,vont,will
15,22,29,parle,speak
16,23,30,compris,understood
18,25,32,étaient,were
20,28,36,donner,give
21,29,37,type,type
22,30,39,donné,given
24,33,42,endroit,place
27,37,46,dont,whose
28,38,47,trouve,find
29,40,49,perdu,lost
31,44,55,tiens,here
32,45,56,matin,morning
33,47,58,enfant,child
34,49,60,venu,came
35,50,61,suite,after
36,52,64,devant,in front of
37,55,67,demandé,request
38,56,68,chambre,bedroom
39,57,69,mis,placed
42,62,75,cause,cause
43,63,77,espère,hope
44,64,78,eau,water
45,66,82,boulot,job
46,67,83,arrêter,Stop
47,68,84,dirait,would say
48,71,88,loin,far
49,74,93,plutôt,rather
50,75,94,aura,will have
51,76,95,filles,girls
